grp;grp2;aphgrp;perfgrp;subj;contr;contrnum;sent;item;acc;rt;cleanRT;senttype;corr;N;PerCorr;chance
EC;EC;EC;EC;24001;PRO3NP;1;PRO;12;1;3307;2851,611543;expt;19;20;95;above
EC;EC;EC;EC;24001;PRO3NP;1;PRO;13;1;1082;1082;expt;19;20;95;above
EC;EC;EC;EC;24001;PRO3NP;1;PRO;14;1;463;463;expt;19;20;95;above
EC;EC;EC;EC;24001;PRO3NP;1;PRO;15;1;573;573;expt;19;20;95;above
EC;EC;EC;EC;24001;PRO3NP;1;PRO;16;1;562;562;expt;19;20;95;above
EC;EC;EC;EC;24001;PRO3NP;1;PRO;17;1;794;794;expt;19;20;95;above
EC;EC;EC;EC;24001;PRO3NP;1;PRO;18;1;614;614;expt;19;20;95;above
EC;EC;EC;EC;24001;PRO3NP;1;PRO;19;1;705;705;expt;19;20;95;above
EC;EC;EC;EC;24001;PRO3NP;1;PRO;20;1;491;491;expt;19;20;95;above
EC;EC;EC;EC;24001;PvA;1;A;1;1;372;372;base;19;20;95;above
EC;EC;EC;EC;24001;PvA;1;A;2;1;10134;.;base;19;20;95;above
EC;EC;EC;EC;24001;PvA;1;A;3;1;852;852;base;19;20;95;above
EC;EC;EC;EC;24001;PvA;1;A;4;1;342;342;base;19;20;95;above
EC;EC;EC;EC;24001;PvA;1;A;5;1;585;585;base;19;20;95;above
EC;EC;EC;EC;24001;PvA;1;A;6;1;267;267;base;19;20;95;above
EC;EC;EC;EC;24001;PvA;1;A;7;1;740;740;base;19;20;95;above
EC;EC;EC;EC;24001;PvA;1;A;8;1;424;424;base;19;20;95;above
EC;EC;EC;EC;24001;PvA;1;A;9;1;923;923;base;19;20;95;above
EC;EC;EC;EC;24001;PvA;1;A;10;1;1099;1099;base;19;20;95;above
EC;EC;EC;EC;24001;PvA;1;A;11;1;716;716;base;19;20;95;above
EC;EC;EC;EC;24001;PvA;1;A;12;1;402;402;base;19;20;95;above
EC;EC;EC;EC;24001;PvA;1;A;13;1;2475;2245,395175;base;19;20;95;above
EC;EC;EC;EC;24001;PvA;1;A;14;1;883;883;base;19;20;95;above
EC;EC;EC;EC;24001;PvA;1;A;15;1;791;791;base;19;20;95;above
EC;EC;EC;EC;24001;PvA;1;A;16;1;264;264;base;19;20;95;above
EC;EC;EC;EC;24001;PvA;1;A;17;1;818;818;base;19;20;95;above
EC;EC;EC;EC;24001;PvA;1;A;18;0;1286;1286;base;19;20;95;above
EC;EC;EC;EC;24001;PvA;1;A;19;1;356;356;base;19;20;95;above
EC;EC;EC;EC;24001;PvA;1;A;20;1;804;804;base;19;20;95;above
EC;EC;EC;EC;24001;PvA;1;P;1;1;1294;1294;expt;18;20;90;above
EC;EC;EC;EC;24001;PvA;1;P;2;1;2185;2185;expt;18;20;90;above
EC;EC;EC;EC;24001;PvA;1;P;3;1;352;352;expt;18;20;90;above
EC;EC;EC;EC;24001;PvA;1;P;4;1;424;424;expt;18;20;90;above
EC;EC;EC;EC;24001;PvA;1;P;5;1;723;723;expt;18;20;90;above
EC;EC;EC;EC;24001;PvA;1;P;6;0;602;602;expt;18;20;90;above
EC;EC;EC;EC;24001;PvA;1;P;7;1;1564;1564;expt;18;20;90;above
EC;EC;EC;EC;24001;PvA;1;P;8;1;263;263;expt;18;20;90;above
EC;EC;EC;EC;24001;PvA;1;P;9;1;589;589;expt;18;20;90;above
EC;EC;EC;EC;24001;PvA;1;P;10;1;1209;1209;expt;18;20;90;above
EC;EC;EC;EC;24001;PvA;1;P;11;1;1050;1050;expt;18;20;90;above
