,simset,condition,GA,DAT,ANS,sentCount,corrCountEmbV,corrCountRefl,acc_embV,acc_refl
62,32,SR-REFL,1.0,0.06,0.25,2000.0,888.0,875.0,0.888,0.875
63,32,OR-REFL,1.0,0.06,0.25,2000.0,914.0,877.0,0.914,0.877
64,33,SR-REFL,0.25,0.07,0.25,2000.0,821.0,793.0,0.821,0.793
65,33,OR-REFL,0.25,0.07,0.25,2000.0,866.0,819.0,0.866,0.819
66,34,SR-REFL,0.5,0.07,0.25,2000.0,852.0,834.0,0.852,0.834
67,34,OR-REFL,0.5,0.07,0.25,2000.0,873.0,820.0,0.873,0.82
68,35,SR-REFL,0.75,0.07,0.25,2000.0,864.0,833.0,0.864,0.833
69,35,OR-REFL,0.75,0.07,0.25,2000.0,897.0,845.0,0.897,0.845
70,36,SR-REFL,1.0,0.07,0.25,2000.0,885.0,864.0,0.885,0.864
71,36,OR-REFL,1.0,0.07,0.25,2000.0,894.0,845.0,0.894,0.845
72,37,SR-REFL,0.25,0.08,0.25,2000.0,831.0,812.0,0.831,0.812
73,37,OR-REFL,0.25,0.08,0.25,2000.0,867.0,812.0,0.867,0.812
74,38,SR-REFL,0.5,0.08,0.25,2000.0,858.0,829.0,0.858,0.829
75,38,OR-REFL,0.5,0.08,0.25,2000.0,877.0,811.0,0.877,0.811
76,39,SR-REFL,0.75,0.08,0.25,2000.0,865.0,837.0,0.865,0.837
77,39,OR-REFL,0.75,0.08,0.25,2000.0,897.0,852.0,0.897,0.852
78,40,SR-REFL,1.0,0.08,0.25,2000.0,876.0,861.0,0.876,0.861
79,40,OR-REFL,1.0,0.08,0.25,2000.0,889.0,855.0,0.889,0.855
80,41,SR-REFL,0.25,0.09,0.25,2000.0,826.0,807.0,0.826,0.807
81,41,OR-REFL,0.25,0.09,0.25,2000.0,844.0,788.0,0.844,0.788
82,42,SR-REFL,0.5,0.09,0.25,2000.0,825.0,792.0,0.825,0.792
83,42,OR-REFL,0.5,0.09,0.25,2000.0,863.0,816.0,0.863,0.816
84,43,SR-REFL,0.75,0.09,0.25,2000.0,852.0,831.0,0.852,0.831
85,43,OR-REFL,0.75,0.09,0.25,2000.0,866.0,825.0,0.866,0.825
86,44,SR-REFL,1.0,0.09,0.25,2000.0,867.0,851.0,0.867,0.851
87,44,OR-REFL,1.0,0.09,0.25,2000.0,893.0,851.0,0.893,0.851
88,45,SR-REFL,0.25,0.1,0.25,2000.0,797.0,764.0,0.797,0.764
89,45,OR-REFL,0.25,0.1,0.25,2000.0,853.0,793.0,0.853,0.793
90,46,SR-REFL,0.5,0.1,0.25,2000.0,824.0,797.0,0.824,0.797
91,46,OR-REFL,0.5,0.1,0.25,2000.0,856.0,814.0,0.856,0.814
92,47,SR-REFL,0.75,0.1,0.25,2000.0,843.0,820.0,0.843,0.82
93,47,OR-REFL,0.75,0.1,0.25,2000.0,869.0,824.0,0.869,0.824
94,48,SR-REFL,1.0,0.1,0.25,2000.0,851.0,823.0,0.851,0.823
95,48,OR-REFL,1.0,0.1,0.25,2000.0,903.0,862.0,0.903,0.862
96,49,SR-REFL,0.25,0.05,0.35,2000.0,680.0,612.0,0.68,0.612
97,49,OR-REFL,0.25,0.05,0.35,2000.0,749.0,580.0,0.749,0.58
98,50,SR-REFL,0.5,0.05,0.35,2000.0,677.0,600.0,0.677,0.6
99,50,OR-REFL,0.5,0.05,0.35,2000.0,751.0,592.0,0.751,0.592
100,51,SR-REFL,0.75,0.05,0.35,2000.0,695.0,625.0,0.695,0.625
101,51,OR-REFL,0.75,0.05,0.35,2000.0,759.0,596.0,0.759,0.596
102,52,SR-REFL,1.0,0.05,0.35,2000.0,736.0,657.0,0.736,0.657
103,52,OR-REFL,1.0,0.05,0.35,2000.0,794.0,608.0,0.794,0.608
104,53,SR-REFL,0.25,0.06,0.35,2000.0,656.0,580.0,0.656,0.58
105,53,OR-REFL,0.25,0.06,0.35,2000.0,739.0,553.0,0.739,0.553
106,54,SR-REFL,0.5,0.06,0.35,2000.0,639.0,567.0,0.639,0.567
